SiteID,Data_Name,SiteName,Protocols_Name,Dataset,Masterlist_Name,Masterlist_Path,Data_Path,Protocols_Path
,,,,20210129_SEV,20210129_SEV_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210129_SEV_CBICAmaster.csv,,
,,,,20210209_RH,20210209_RH_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210209_RH_CBICAmaster.csv,,
,,,,20210319_ACRIN_FMISO_Brain,20210319_ACRIN_FMISO_Brain_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210319_ACRIN_FMISO_Brain_CBICAmaster.csv,,
,,,,20210322_CPTAC_GBM,20210322_CPTAC_GBM_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210322_CPTAC_GBM_CBICAmaster.csv,,
,,,,20210713_Penn,20210713_Penn_GBMbaseline_clinicalinfo.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20210713_Penn_GBMbaseline_clinicalinfo.csv,,
,,,,20220308_IvyGAP,20220308_IvyGAP_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220308_IvyGAP_ReSPONDmaster.csv,,
,,,,20220310_TCGA,20220310_TCGA_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220310_TCGA_ReSPONDmaster.csv,,
,,,,20220406_TUM,20220406_TUM_ReSPONDmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20220406_TUM_ReSPONDmaster.csv,,
,,,,HF_2023,20211221_HF_CBICAmaster.csv,/cbica/projects/brain_tumor_external/BT_ReSPOND/Lists/datalists/20211221_HF_CBICAmaster.csv,,
,,,,NYU_2023,,,,
,,,,20230221_OSU,20220811_OSU_ReSPONDmaster.csv,/cbica/home/garcijo/ReSPOND_validation/Lists/master_lists/20220811_OSU_ReSPONDmaster.csv,,
,,,,20230725_OSU,,,,
,,,,20230809_TJU,,,,
,,,,UPMC_2023,,,,
,,,,Brown,,,,
,,,,Hamamatsu University,,,,
,,,,Livorno_2023,,,,
,,,,NaHomolce_2023,,,,
,,,,Okayama_2023,,,,
,,,,UTexas,,,,
,,,,UWMadison,,,,
,,,,Yale_2023,,,,
